	utterances
0	How was your day today?
1	Oh, it was not too bad, thank you. 
2	That's good to hear! Did you have any communication events today that you found easy or enjoyable?
3	One of my grandchildren called me today and we talked on the phone for a while, it was quite easy.
4	That's lovely! Have you; had trouble remembering things people said later on?
5	I have a little bit of that. But with the grandkid on the phone, I really focused and listened carefully.
6	That’s great pal! what do you do when you have a difficult time understand what is being directed parlay language only?
7	When I have a difficult time understand spoken language
8	--------------------
9	Are there any specific activities you engage in daily that reflects your functioning in communication, as an elderly patient?
10	Oh yes. Very often, my son calls me up and we talk for a while.
11	That's great! How do you find it --- the experience of speaking on the phone?
12	At times, it's somewhat tiring to follow the conversation.
13	Hmm...Do you experience inconvenience to understand him properly?
14	Yes, sometimes. But I ask him to patiently speak slowly so that I can understand better.
15	It does make sense! Any other instances when you experience those barriers to communicating?
16	Ah, every day I write a journal in the morning. I dictate, and my helper
17	--------------------
18	How was your day, did you do anything interesting today?
19	Oh, just some basic stuff around the house.
20	Did you do any communicating today that you found challenging or interesting?
21	Well, I did have to call my doctor's office today.
22	Oh, did you have any trouble hearing or understanding what they said? Or did you use any communication devices or strategies to communicate with them?
23	No, thankfully it was a clear line and I could hear them clearly. I think my hearing aid helps with that. But they did talk kinda fast and gave me a lot of information all at once. It was a little overwhelming.
24	Ah, I know what you mean. Did you have them clarify
25	--------------------
26	How was your day today?
27	It Was very busy today!
28	Oh! you look pretty exhausted. How are you feeling right now?
29	A little bit dizzy
30	Why was that feeling ambushed on your side?
31	Earlier today I had a local poda bazar market, and purchasing things makes communicating much more significant due to negotiation habit employed regularly. 
32	How long did it last?
33	Well It initiates standing pretty early in the morning and approximately takes about two hours. During this whole duration long engagement includes communication with countless tailors, craftsmen, and various vendors. Later interacting in receiving proper billing.
34	It sounds exciting!!
35	Yes, Anything related to community
36	--------------------
37	How was your day, Mary? 
38	Well, it started out fine. In the morning, I watched the morning news to catch up on what's happening in the world.
39	That's nice. Did you understand everything that was being said on TV? 
40	Not completely,j ust some of the main headlines. Then,Iyou went grocery shopping to buy some fruits and vegetables. 
41	Did you interact and make small talk with anyone while you were there? 
42	Yes, I had a brief conversation with one of the vendors selling fruits, asking How much is this?, Is this fruit ripe?. 
43	Did you have any difficulties understanding the person becaseu of a regional accent
44	--------------------
45	Hi! How are you doing today?
46	Oh. Hello there! How nice to talk to someone this morning, hehe.
47	Sure thing! What have you been doing lately?
48	Just my daily routine you see. A lot of reading, trying to tend to the things around the house - cooking lunch hasn't improved yet, haha.
49	Oh yeah, sounds fruitful! Do you usually hear the newsreadings on radios or TVs?
50	Well Little Freddie gifted me this hearing aid the other month and it sure has done the wonders for conversations. It took me a while to adjust and somehow always make time out for rituals older folks are known for nowadays; but after consistent struggle with machinery before bed hours have
51	--------------------
52	So, how's your day going, does anything different happen?
53	Actually, I went to the grocery store yesterday and struggled at the checkout. 
54	That sounds frustrating - what happened? Did the cashier speak too quickly?
55	No, the cashier spoke clearly. However, my hearing makes it difficult for me to focus. 
56	That's understandable. Could you hear the other sounds in the store that were worse? 
57	Thankfully I was able to close my hearing help to give relief, but otherwise, groceries loooooooo-spells can stress speech accommodation I think I couldn't hear sound especially understand﻿ it while dozens busyfull society people are stands anywhere moving around and engrossing the vision and competition
58	--------------------
59	How was your day today?
60	Not bad.
61	Did you have a chance to socialize with the other residents?
62	Yes, I joined the game club this afternoon.
63	That's great. How did you participate?
64	We played cards together. There were around six of us.
65	That sounds like fun. Was it easy for you to communicate with everyone?
66	Yes, I could understand most of what they said today.
67	That's wonderful news. Did they enjoy playing games with you?
68	Yes, they did. 
69	I'm so happy to hear this. Do you usually have someone helping you during these activities?
70	Yes, sometimes an assistant does step in
71	--------------------
72	Hi there, how are you feeling today?
73	Not too bad, just a bit tired.
74	I understand. Can I ask you something about your daily life?
75	Of course, go ahead.
76	Can you tell me about a communication event that happens to you regularly?
77	Well, sometimes while watching TV, I struggle to understand what the actors are saying.
78	Oh, I see. Any particular type of show or certain times when you have more trouble?
79	Yes, mostly when I watch dramas and they speak in a soft tone or mumble.
80	And how do you deal with this when it happens?
81	I try to guess what they are saying from the facial expressions and the
82	--------------------
83	So, how was your day going?
84	Today was better than yesterday. In the morning a delivery boy came to bring my food supplies.
85	Did you get a chance to communicate with the delivery boy?
86	Yes, I did. I used pen and paper to write I was pleased to see him, especially amid the stay-home restrictions due to the pandemic.
87	How was the boy’s reaction?
88	He smiled and replied wisely in text message buying from my least preferred brand due to stock problem.. It went well at compensating store credit or asking alternative functions besides heating them into a pot or brown. I appreciated and identified the situations.
89	So, did you have anything thrilling after ambulatory shoppping?
90	--------------------
91	Have you been enjoying reading any good books lately?
92	Well, I can't see as well as I used to, but I listen to audiobooks when I can.
93	That's great, when do you usually listen to them?
94	I like to have them on in the background while I'm doing household chores or when I go for a walk in the park.
95	Good idea! How do you find new books to listen to?
96	My son-in-law sometimes makes recommendations, or the library has a good selection online.
