	utterances
0	How was your day today?
1	Oh, it was quite eventful!
2	What did you do today?
3	Well, this afternoon some of my fellow veterans and I got together and attended a local celebration.
4	That sounds great! What kind of celebration was it?
5	It was a celebration honoring our armed forces and freedom.
6	When and where did the celebration take place?
7	It was in the park down the street that pays tribute to military veterans and families. It started in the morning and lasted most of the day.
8	Did you do anything else special there?
9	Yes, we had a beautiful music concert and of course delicious refreshers sponsored by one of biggest humanitarian agency. We
10	--------------------
11	So how did you spend your day today, anything interesting?
12	Actually I enjoyed a social event at the local community center.
13	Oh, that's nice to hear! What kind of event was it?
14	It was a fundraising event for the local school programs.
15	That sounds like a great cause. When did it take place?
16	It was held this afternoon, from 2 pm until 5 pm.
17	And how was the turnout?
18	It was beyond our expectations. There were many people who showed up to contribute towards the school, about 100 people maybe.
19	Wow, it sounds like there are a lot of good people in our community. Where was the Community Center located?
20	--------------------
21	What have you been up to these days?
22	Oh, not much, just went to a community festival last weekend. 
23	That sounds fun! Is it an annual festival?
24	Yes, it is held every year in our neighborhood park. 
25	How long have you been attending this festival? 
26	Ever since we moved here, which was 10 years ago. 
27	Wow, so you must have seen how it has grown over the years. What kind of activities did they have this year? 
28	Well, they had live music, food trucks, arts and crafts booths, and even a petting zoo for kids. 
29	That's awesome! Did you run into any of
30	--------------------
31	Hello, I hope you're doing well.
32	Yes, not bad, and you?
33	Fine, thanks. I wanted to know if there's anything interesting that's happened recently.
34	Well, a few days ago, I went out to enjoy a book fair downtown.
35	Really? How was it? Did you find anything particularly interesting or meaningful there?
36	The festival was nice, there were many reasonably priced stands with fresh plants, vegetables as well gardening books. I stepped in the fair after cleaning my mower parts rusty leg bench for that backyard touch.
37	Ah, did buy anything? Did attend any interesting sessions? 
38	Department speaker Marcia Mast constructed the water and WASTEkitness short
39	--------------------
40	How was your day today?
41	Oh it was a busy one today. I had an appointment at the senior center to attend a talk on health issues.
42	That sounds interesting. What kind of health issues did they talk about?
43	It was mainly about senior-specific exercise. They also talked about the senior-oriented classes held at the center.
44	When are the classes and how often do they happen?
45	Classes are held every Thursday morning from 7 to 8 AM, and once in a while during afternoon too. 
46	That does sound pretty early for a class. Are seniors showing up to the classes?
47	Yes dear! Seniors comprise majority of the
48	--------------------
49	How was your day today? Did you go out anywhere?
50	Oh, hello. I normally do not go out much, but I did have a chore today.
51	What was it?
52	P. Well, I had to go and fetch my prescription from the elderly center.
53	How was the center? What's over there?
54	The elderly center is a great facility. They have a wonderful health program running. We are taught new postures to keep the elements at bay. 
55	That sounds like fun. Do you always go to these events?
56	Yes, smaller things all the time. Keep me though cause during the long stretch. 
57	That is reasonablethoughful. Keep portion smooth
58	--------------------
59	Hi, how have you been doing lately?
60	Hi there, I've been trying to be active as possible.
61	Oh, that's really impressing. Can you give me what social or civic activity have you reveled recently?
62	I participated on an elderly community annual event last week. It was wonderful and I enjoyed meeting many people.
63	That sounds great! What benefits did participants have from joining that kind of events?
64	For me, joining that kind of coordinated events connects me to community seniors perspective on social welfare services which teaches me benefitability of team participation in management of societal downspects.Expcially amidst Covid-19 times.
65	They Way the whole setup organize, that sense community willing combine
66	--------------------
