	utterances
0	How has your day been so far?
1	It’s been alright. Though, I had a tough time figuring out how to program the TV remote-control.
2	Couldn't you find where the problem was?
3	Turns out, the manual was outdated and incomprensible. They left outwards and changed some of its commands.
4	How did you learn about this?
5	I went online trying to search for directions using speech before finally spotting and downloading the updated version of it.
6	That's a great example to demonstrate using the Know-Do process while applying problem-solving skills. Did using an audio media supported or increased your performance gaining available resources online?
7	Yeah to be honest, i wasn't familiar
8	--------------------
9	How's everything going for you today?
10	Oh not too bad, just trying to figure some things out.
11	Sounds like you're doing some problem-solving.
12	Yes, I'm just trying to understand this report.
13	When do you usually do your problem-solving?
14	Usually in the morning.
15	Do you prefer solving problems in the morning?
16	Yes, I feel more awake and analytical.
17	That's really interesting. When you're problem-solving, does any particular approach work best for you?
18	Yes, I like to use diagrams and charts to visualize the situation.
19	That makes sense. Are there other ways in which you generally prefer to learn or process information?
20	--------------------
21	How was your day, Pat? What did you do today that made you happy?
22	Oh, I try to keep myself busy all the time. Even studying. 
23	You love studying that much, do you Pat?
24	Certainly do. Learning heals my emotions of depression.
25	Was there any specific way that you learned something better today?
26	I was listening first, and understood the set the whole goal up. Planning made tasks smooth.
27	--------------------
28	How is today going for you?
29	Oh, hello. My cough is a bit worse today. Smart as has medicine figured a solution for constant coughs?
30	Oh no, I'm sorry to hear that. When do you usually start coughing?
31	After lunch and inunditidi..
32	Intruding?
33	Yes, breakfast my grandson gets late every day.
34	Well If you change schedule your grandson is attending long meeting schedgen than prioritize something won occur during meionidolin morningow create space so experience undivzdwill.ttinget's take more check deeplweed herb and calm tenasing stomach.
35	Maybe herb will alteayeywo it a tries fairve therli
36	--------------------
37	What have you been up to today, anything interesting in your day-to-day routine?
38	Oh, I've been following my usual routine of reading the newspaper since I woke up in the morning.
39	That sounds like a satisfying way to start a day. Any type of particular news that catching your eyes right now.
40	I read an article about a doctor that I used to know a long time ago who is developing his own psychiatric practice now.
41	How did that article impact the doctor-patient relationship with your medic giver amongwhen you embedded whenever an amount your relationship.
42	Oh, it overwhelmed me with proud. When I visited the prevention job spread for youth orientation lecture materials... I firstly defined on cover volume
43	--------------------
44	So, how are you feeling today?
45	I'm feeling fine, thank you.
46	Did you have any interesting activities to do today?
47	Oh, not much. But, I tried to read some newspapers this morning.
48	That's great! When and how long did you read for?
49	I read for about 30 minutes after I got up, right after I ate breakfast.
50	That's a good habit! What kind of newspaper did you read?
51	Just some local news. I also picked up some tips about keeping pets healthy as I was reading.
52	Sounds like an informative paper! Did you remember any points from what you read?
53	Yeah, there was an ad which
54	--------------------
55	So, how has your day been so far?
56	Not bad my dear, just the usual routine. Did some cleaning, cooking, and reading.
57	That's good! I'm curious, what did you cook?
58	Today I experimented cooking broccoli in a different way that I learned from my cooking book.
59	That sounds interesting. How did you learn about this new way of cooking?
60	My granddaughter got me a cookbook and I like to read new recipe ideas in the book.
61	That's great, it seems you enjoy learning different ways of cooking. Have you tried any other recipe?
62	Yeah. Few days back, I adapted a recipe from the cookbook on how to thrive a plant in p
63	--------------------
64	Hi, how are you feeling today?
65	I'm feeling ok, just a little tired.
66	I can understand that. I wanted to see how is your daily life going. How do you spend most of your days?
67	Mostly staying at home. I like reading books, watching TV and listening to the radio.
68	That's great. What genres of books interest you the most？
69	I enjoy learning about history and biographies.
70	How did you discover this interest?
71	Really simple, I saw documentaries view and out of curiousity I got few related books.
72	That's fantastic! And because you enjoy that, have you developed problem-solvers that you are processing knowledge into new ideas
73	--------------------
74	Hi! How are you feeling today?
75	I'm doing fine, thank you.
76	Can you tell me how you learn new things usually?
77	I like to watch videos and read books.
78	When do you access these multimedia channels usually?
79	I usually access these channels in the day after breakfast.
80	I see. Do you think you have ever learned a new concept through trial and error?
81	Yes, indeed. Sometimes by mistake or accident.
82	Could you please gave me an example?
83	One time I overcooked vegetables, and therefore from then onwards, I became very ensure to it not happen accidentally. 
84	Thatâ€s a brilliant practical application Exemplary,
85	--------------------
86	How have you been feeling lately?
87	I've been feeling okay, just a little tired from time to time.
88	Have you been engaging in any activities to exercise your mind, such as reading or taking up different hobbies?
89	Actually, I have been taking an online course! I sit in front of my computer to watch videos and I try to complete coursework supplied afterward.
90	That's brilliant! How do you access these lessons to start the videos?
91	My grandchildren helped me get set up on my computer. Now I can watch them whenever I have some time on my afternoons while dinking my kinds of fruite juice.
92	That sounds great. Can you tell me about any specific ways
93	--------------------
94	Hi there, how has your day been?
95	Oh hello, I've been alright thank you. Keeping myself busy. 
96	That's great, have you learned or discovered anything interesting today? 
97	Yes, I have been reading news articles of the effects covid-19 has on various societies and how different scientific pills are created to treat the infection. It's quite thought-provoking especially the one research claiming tea, such as Camellia Sinensis lower rate my chances of orostat trouble.
