	utterances
0	Which kinds of activities do you usually do, Caroline?
1	Well, I am early retired, but I love regular walks in the morning.
2	That's great! Have you had any problems or improvements in doing so lately?
3	Oh, I enjoy losing myself into the natural environment around here every day. Conversely, recently my arthritis started playing slightly and working a bit hard while completing even simple day-to-day moderate activities.
4	Does it pain too much when doing activities pushing hard?
5	I underwent session with tissues compression to adjust the soreness that occurs in inflamed joint areas sometimes but most of the time the symptoms stay in this limit that I can carry on up reasonably.
6	--------------------
7	What's going on, have you been up to anything?
8	Well, just recently, not particularly. My daily life is fairly boring. 
9	I doubt that very much. What's with errands, hobbies, anything of that sort.
10	I like having my daily walk on the street. 
11	Excellent outdoors often ask you between exercises positive for mood 
12	That absolutely right! Walk out lifts me in positivity
13	How far would you usually travel on pedestrian?
14	About ten block. Longer goes one I seesaw now. 
15	Certain I becomes light tired noticing about? 
16	Give now from today, make fail happen walk soundly.
17	Amenability frustrating extremely is
18	--------------------
19	Do you have any exciting plans for the weekend?
20	Not really, I usually just stay home and watch some TV.
21	That sounds nice. How about last weekend? Did you have any plans?
22	Yes, my grandson took me to see a movie.
23	Oh, what did you see?
24	We watched a comedy. I enjoyed it a lot.
25	That's great. Did you take the bus or a taxi?
26	My grandson drove me there in his car.
27	How about shopping? Do you go out to buy groceries or other necessities?
28	Yes, I usually go to the supermarket on Tuesdays.
29	That's awesome. Do you walk to the supermarket or take
30	--------------------
31	So, how has your day been, have you been doing a lot of moving or traveling around today? 
32	Well, yes, actually. Today I visited my friend who lives on the other side of the city with a taxi.
33	Oh, okay. How was your experience of the taxi ride? Is it accessible for a person that has problems with adopting to uneven surface?
34	I felt some bumps because of my tremulous legs and shaking muscles but regrettably the taxi can not make any extras for making it more navigable 
35	Was there much traffic on the road during that time? 
36	Yeah, there were a lot of cars and buses running on busy urban roads with their upper limits full-g
37	--------------------
38	Do you have a usual routine before going out in the morning?
39	Yes, I usually wake up around the same time and try to move around the house to warm up my body before heading out for local mobility events.
40	And how about going to visit your grandkids who live two hours away form you. When do you take that longer , out of your area trip?
41	I do this a few times per year. But taking care of accommodating my strength criteria beforehand make me feel apprehensive.
42	How far in advance do you need to make preparations for it?
43	I typically notify them a couple weeks ahead and will check medications and rentals needed .
44	--------------------
45	How was your morning today, and did you go out at all?
46	Yes dear, I went out for some shopping on my scooter. 
47	That sounds great. So when did you go shopping - in the morning? 
48	Not really dear, actually, I came back half an hour before you contacted.
49	Okay, got it. And how did your scooter function today?
50	The scooter is running still now without giving any hiccups, which is not bad at this age. But its battery depletes over time quite easily, so I charged before waking up today to avoid any breakdown and preserve its useful life. By the time I came home again in an hour, its driving capacity reduced sufficiently
51	--------------------
52	How has your day been today?
53	Not bad. Though every day is a bit challenging as it is difficult to move around nowadays.
54	What do you mean by that? Do you need Medical assistance frequently?
55	No, it is not medical help, but just my own mobility. I finding it difficult when taking buses or trains as I need to rely on knieksie. 
56	Do you use shopping home busses for getting the grocery towards casa?
57	Yes, one fairly arrives Monday evening. However one needs placing an order Saturday or before for them to know.
58	It appears Monday the recommendation would be Better What else do you do for mobility events? 
59	Sometimes, using a highway
60	--------------------
61	How are you feeling today?
62	I'm all right. Just a little tired.
63	Did you visit the supermarket today?
64	No, I walked to the hospital today to have my session.
65	How long do the sessions last?
66	Usually around an hour. Then I walk back home.
67	How are you finding the walk?
68	It can be tiring but I prefer it to taking the crowded tram.
69	Do you take the tram often?
70	Yes, at least two or three times during the week.
71	How busy is the tram usually?
72	Sometimes it can be crammed. But mostly, it's a comfortable way to go around town.
73	Do you
74	--------------------
75	Have you been out and about lately? 
76	Oh no, I rarely get the chance to go outside anymore. 
77	Why is that? 
78	I just find it difficult these days. I lost some strength in my legs, so walking outside isn’t easy. 
79	That must be difficult for you. How do you usually get around? 
80	Generally, I use my scooter to get to my doctors or home services checks. 
81	And what about grocery shopping? That's also an essential activitiy, n'aest-par? 
82	Yes, I agree. On occasions my daughter helps pick up some groceries. Other times, there's this rare flyer called Maggie remarkable
83	--------------------
84	Hi there, how have you been?
85	I've been okay, thank you. 
86	I was just wondering, how have been getting around lately? 
87	Well, I usually walk to the grocery store every Tuesday and take the bus to the library on Wednesdays. 
88	That's great! Do you ever take other forms of transportation like cabs or trains? 
89	Not really, unless my daughter drives us somewhere on the weekends. 
90	That makes sense. What activities can you still participate in that requires some mobility skill? 
91	A few occasions, I ride my stationary bike as soon as I woke up and before I sleep. Cycling beat other gym equipment, it appears motions
92	--------------------
93	How have you been, Mary? What have you been doing?
94	Hello Emily, nice seeing you today. I have been busy doing some light exercise.
95	That sounds great. What activities do you enjoy doing? 
96	Sometimes I like playing around with my cats, they love it fun.
97	Also it seems like you're in good health at that age.But airmessages@gmail conceous people who are lose mobility inevitably cannot aviod a little activity over an event.you rmtoo look good shape physicinctually. Do you face any struggles with travel in someway, wantsome earlier concepts shared each doesn't mean putting it only within season in far ranges - activities change every wet season
98	--------------------
99	Hey, how was your weekend?
100	It was okay. Not as eventful as usual, though.
101	Oh, really? What did you end up doing? 
102	Just grocery shopping, trying so hard to get my act together nowadays.
103	That sounds like a good idea. What did you come up with afterwards? 
104	I took a cab to the pharmacy to fill up on my medication. It was a scenery rush working our way through unpaved, pouring roads while engaging gentle flights of local talk.
105	Was the cab easy to hail at that time? How did you go about it? 
106	Ordinary, made a simple package deal to get a cab quickly. Busks are quite post
107	--------------------
108	How was your day yesterday? 
109	Not too bad. I went for a short walk around the block which gave me a chance to get outside.
110	That sounds nice. How do you usually get around to run errands, like grocery shopping?
111	Mostly by car. My daughter takes me once a week.
112	Okay, and how about visiting friends or family?
113	I don't get around to see people as much anymore, but again, usually in the car when I do.
114	Makes sense. What about unexpected events like when going to a nature park or on vacation? How have you handled transportation for those occasions?
115	It's been a while since any of those happened for me. But
116	--------------------
117	Do you have any important appointments in the next couple of days?
118	Yes, I do. 
119	That's great! How do you usually make your way there- on the bus or maybe by car? 
120	Actually, my son would come and walk with alongside me. 
121	That's nice! Is there anything new that your doctors told you that especially caused disrupting mobility for you? 
122	Not really. Moving around has just become especially challenging because of my recent knee surgery. But I try not to go out so that there aren't shocks putting too much impact on it right now. 
123	Makes sense. How about outpatient appointments in the clinic or visits to relatives - how're those
124	--------------------
125	Have you been up to much today?
126	Yes, I had to take the bus to a doctor's appointment this morning.
127	That's great to hear. Did you have a specific time for the appointment?
128	Yes, it was at 10 am. So, I had to take the bus quite early this morning.
129	Oh I see. Can you tell me more about that experience taking the bus?
130	It was alright. I had to walk to the nearest bus stop and wait for about 10 minutes until the bus arrived. It was somewhat crowded, but since I had a designated seat, it was manageable sitting down for most of the ride.
131	That's reassuring. How long was the trip
132	--------------------
133	Do you usually take the bus to grocery shop?
134	These days, I've been taking the subway more often. My house is quite close to the station.
135	How about going to doctor appointments? How do you get there?
136	My daughter drives me there once a month for the regular check up.
137	That's helpful. How else do you get around town for other errands like going to the bank or post office?
138	To be honest, I prefer to walk when the weather is good. If not, I'll catch a cab to shorten the time.
139	Speaking of being outside, when was the last time you had a day trip or visited somebody out of town, and how did you get
140	--------------------
141	Hi, how are you feeling today?
142	I'm doing okay - feeling a little tired.
143	Aww, sorry to hear that. Did you do anything exciting or different today?
144	I took a taxi to the park to do a little bit of walking in the sun.
