	utterances
0	“Did you manage to maintain your garden today?”
1	“Yes, but I only watered the plants.”
2	“When are you planning to mow the lawn, mate?”
3	“Probably tomorrow morning. The grass seems to have grown too thick, so I could clear all of it nicely. ”
4	“Do you need any help with it? ” 
5	“Thank you so much, In fact. Any assistance lowering my old holly tree could make me glad if inclined for streamlining branches supported against outer house fencing too.”
6	“When did problems related to your heating mechanism begin?” 
7	“One day I woke up and realized I'd acquired no blanket,
8	--------------------
9	Hi, how have you been lately?
10	Not so well actually. I haven’t been managing the house again like I used to.
11	What do you mean?
12	The plants in the garden haven’t been getting regularly watered.
13	When did that usually happen?
14	I’d usually water them in the mornings, but lately it’s been different.
15	How has it been different?
16	I’ve been experiencing some shoulder pain and haven’t been able to hold the watering can for too long.
17	Have you tried using irrigation system for the plants? 
18	Yes, I have thought that too. But I need to replace sagging drip line,and it's not within easy reach within reach
19	--------------------
20	Hey, how are you feeling today?
21	Oh, not too bad dear. It's just been getting harder to maintain the household.
22	What has been difficult specifically?
23	Keeping up with the yard work has been a struggle lately. Last week, I strained my back while trying to rake the leaves.
24	That sounds tough. When do you usually work on the front lawn?
25	I try to do it once every two weeks if it's not raining. I usually start early in the morning before it gets too hot outside.
26	Have you considered asking for help?
27	Yes, I have thought about asking one of my children, but they are already quite busy
28	--------------------
29	What did you do at home over the weekend?
30	I spent most of the time cleaning the house.
31	When did you start cleaning your house?
32	Around 9 am on Saturday.
33	That's early. How long did you clean?
34	I finished around 5pm and took a break for lunch and did small chores in between.
35	What did you clean specifically?
36	I vacuumed and filtered my carpets, dusted all of the cabinets, and arranged some of my appliances. It was quite an intensive cleaning task.
37	It sounds like you had a couple of challenging things to the intended kind. Do you complete them easier when someone assists
38	--------------------
39	How was your day today? 
40	It was a good day, dear. I managed to water all the plants. 
41	Oh, I see. When do you take care of your plants? 
42	Well, I usually do it once a week. Saturdays suit me better.
43	Do you manage the gardening all by yourself? Such as planting, weeding? 
44	No, not exactly. My daughter helps me with that. But for watering and occasional pruning, I do it. 
45	Do you take initiatives while cleaning the house? 
46	Indeed, It doesn't agree with fatigue. I wanted cleaners commercial. It makes home dirt-less satisfied for more entire week. 
47	--------------------
48	What did you do yesterday?
49	I cleaned my bedroom.
50	When did you clean your bedroom?
51	I usually clean my bedroom every Saturday evening.
52	How long did you spend cleaning your bedroom?
53	I spent about two hours cleaning my bedroom.
54	What did you do to clean your bedroom?
55	I dusted my furniture, used a vacuum to clean the floor, remade my bed, and put my clothes in the closet or dresser drawers.
56	How often do you water your plants?
57	I water my plants every morning.
58	Where do you usually purchase plants?
59	I buy plants from a local shed or nursery to keep inside and for seeds or gardening outside during suitable
60	--------------------
61	What did you do today?
62	I found myself cleaning the bathroom all morning. 
63	How often do you usually clean it?
64	Once every week, but the tub needed extra scrubbing.
65	Were you able to complete all your other domestic chores today as planned in addition to the cleaning?
66	Oh indeed! I already finished dusting off tables yesterday. Tomorrow morning, perhaps rug washing can be done.
67	Some maintenance is involved if you have a lawn, how do u perform maintenance?
68	Mowing and weed trimming for roughly once each week starting from March through November. The roof among most important tasks! Always need to make sure there are no ice dams on snowy month monitoring timewise frequent work
69	--------------------
70	What did you do yesterday, have you done anything today, such as housekeeping or watering the plants?
71	I usually get up early each morning, and vacant my bowels, and I take a shower. Having given that occurs, being consequently can hose blackly, being infected, it wouldn't visualize partialities. After that, I swept my confined upfrontroom brightly other than commonly used van.
72	You visit your morning exercise, correctme If I've tolddisagreeable?
73	Y e s, currently is friday sense rise emetically? - Morning Activity Five in that thatwalking fascinatings toget accustomed track on Greenseem Pond. Climate Now is Ofassico above-kadences towards
74	--------------------
75	How's things going lately? How have you been completing your daily household tasks, are there any difficulties you face? 
76	Well, I can still manage to keep up with daily chores and automating things makes life easier. I simply have these automatic dishes cleaner installed which often needs bulb-changing. 
77	How often does it happen that you need to replace a bulb yourself? 
78	Approximately every four months or so. Otherwise, there really isn't much maintaining on my schedule around a house to notify through beforehand.
79	--------------------
80	Hi! Have you been occupying yourself with some useful activities these days 
81	Yeah, as doctors allow me some outdoor household chores before it's getting hot like preparing my garden for the summer plantations.
82	That’s wonderful,what are your top priorities?
83	Well, I want to keep everything bark dusted and as take cobwebs off from sidewalks and buildings
84	Why spiderwebs?
