	utterances
0	Did you have difficulty with anything today, Mary?
1	Not anything..I was okay today..
2	That's great Mary! Did you have your morning bath today?
3	Yes, Emily. I did have my morning bath probably an hour ago. I feel more better.
4	I see..by any chance do you need help with bathing?
5	No Emily. In general, I like to live on my own care strength.
6	That's wonderful Mary. By the way, do you regularly wash your hands?
7	Uhm-hm, Sure Emily. Before and after each meal I ensure giving wave a proper lead voice pattern is helping you or on with our safety learning further t making a get anywhere yourself
8	--------------------
9	Hello! How are you feeling today?
10	I'm glad you asked, but I'm mostly thinking of self-care events I need in my daily routine.
11	Oh, okay.. sounds important. Which self-care events do you mean specifically?
12	well, my shower has become a daily routine, please how should one shower, on getting inside the bathroom or after stripping completely naked?
13	Hmm.. I suggest getting tiled fully as the preference like saling water damage, this kicks off the beauty therapy application cleans deeply polished lips in every stitch; then stretch to relief eagarness along gradual static positioning addressing the seconds notably relaxing what still have-to overcome muscle spammed dynamic challenging functions easily undistsracted
14	--------------------
15	Hey, how have you been lately?
16	Oh, just trying to keep active and functional.
17	That's good to hear. I see you've been keeping up with your daily self-care routines.
18	Yes, I try to be mindful of maintaining my routine.
19	When do you usually do your self-care events during the day?
20	I usually do my self-care every morning after breakfast when my energy is still robust.
21	Is there a particular self-care event that requires more of your time and attention?
22	Well I had a leg surgery a few years back and since then I have to give extra time while washing my left foot.
23	F : Oh ok. If you don't mind me asking,
24	--------------------
25	Hey there, how was your day today?
26	It was quite exhausting. Thanks for asking.
27	I totally understand. Did you have any self-care break today?
28	Yes, yes ... I had a shower in the morning .
29	That sounds refreshing. Do you usually have showers every day and what gives you the feeling that you really a shower?
30	No, never maybe – mostly I try to shower huge daddy slowly abhimanyu_kumar; been easier spots lately unfortunately…” Today I felt super drowsy and completely a crisp wake – me – up – shower by hundreds warm this tinegal country.
31	Make sense! Did you also have a brush off with soap on your body
32	--------------------
33	So, have you been managing ok with bathing and showering?
34	Hmm, I find it troublesome these days.
35	How so?
36	It just requires a lot of energy nowadays and I don’t have that much stamina.
37	Maybe having a hand-held shower head could help with that. Have you thought of purchasing one of those?
38	I haven’t actually. But, I think I find it easier to clean myself from the counter tap. 
39	When was the last time you properly washed your hands?
