	utterances
0	How are you feeling today?
1	I am a bit tired.
2	Did you get enough sleep last night?
3	No. It was hard to sleep.
4	That might be why you are feeling tired. Did you change your clothes this morning?
5	Yes, I did. It took me almost half an hour to put them on.
6	That can be a challenging part of each day. Did you follow the same steps as always?
7	Yes, but my fingers hurt, and I could not get my buttons fastened.
8	Maybe next time, you could ask someone to help lower or raise the table, which could allow you to minimize bending over near as much?
9	That could be an
10	--------------------
11	How are you feeling today?
12	I'm okay, been keeping myself busy
13	That's great, is it difficult getting dressed or putting clothes on?
14	Actually yes, every time I feel dizzy. But taking my time to finish dressing normally helps stabilize my body.
15	And when is the last time you experienced that unstable feeling?
16	Today while I was to tied my shoelaces
17	Oh I see. Can you usually tell when it's going to happen?
18	Often, but sometimes it feels sudden. And it's always random.
19	I'm sorry to hear that. Can you tell me about another challenge you may have experienced
20	--------------------
21	Do you do any self-care events, like getting dressed in the morning?
22	Yes, getting dressed is my responsibility but sometimes I get worried about lifting my arms to put on clothes.
23	That makes sense. And do you bathe yourself in the morning?
24	Yes, but recently, I've needed help getting in and out of the tub because I'm worried about falling. 
25	Hmm, maybe you could use a bath chair or shower seat to reduce the risk of falling if you're worried about that?
26	Good idea. I'll discuss it with my caregiver.
27	What about taking off clothes? Is that something you can do independently?
28	Typically, not always. Sometimes I get frustrated struggling
29	--------------------
30	How has your day been so far?
31	Pretty good, but these days I feel so tired with normal activities. 
32	Have you been okay while getting ready in the morning?
33	No dear, that's the definite opposite. Lately, putting on clothings is taking lot of time, and it almost runs out my energy.
34	What part of getting dressed is so challenging for you?
35	Oh it starts right from bending over to socks those can be and tightening bra clips difficult daily routines back hurts grabbing stuff are burdensome cough punctiliar during morning and family depends on most healthcare specialist. 
36	Hmm, I'm sorry to hear that. How many times a day do you need assistance?
37	--------------------
38	Do you have any difficulties with putting on and taking off your clothes?
39	Well, I couldn't put them on by myself these days as my flexibility declined lately.
40	I see. What kind of clothings cause difficulty? 
41	Putting my pants on alone has become challenging, especially those that close over my abdomen because they require remaining upright for extended periods while doing two nonlinear motions altogether as tightly. 
42	Maybe wearing pants with elastic waistbands, elastic cylinders, or designed pockets other closings than zippers might work better.?
43	That sounds right. Though following recommending physican issued plan including exercise promoting physical endurance  build core strength so l may self-care oftentimes, maintaining a tally of constant
44	--------------------
45	How have you been, did you do anything enjoyable today? 
46	Well, I played with my grandkids earlier and I take short walks by myself as well.
47	That sounds great. How do you manage to dress yourself each day?
48	It takes me a little longer, but I usually put my clothes on over my amputated leg and then figure out how to hybrid into my wheelchair and standing rather than sitting thereafter.
49	That must require a good deal of skill, is assistance readily available across the sort of events?
50	Yes, it does, some bright days I have intentions mainly concerning leaving every critical order for assisted self-effects for assigned weekdays in support of avoiding possible inconveniences till when assistance arrives
51	--------------------
52	Hey there, how have you been doing lately?
53	Not bad. Just trying to keep going with my daily life.
