utterances	labels
How was your day today?	communication
Oh, it was not too bad, thank you. 	none
That's good to hear! Did you have any communication events today that you found easy or enjoyable?	communication
One of my grandchildren called me today and we talked on the phone for a while, it was quite easy.	communication
That's lovely! Have you; had trouble remembering things people said later on?	communication
I have a little bit of that. But with the grandkid on the phone, I really focused and listened carefully.	communication
That’s great pal! what do you do when you have a difficult time understand what is being directed parlay language only?	communication
When I have a difficult time understand spoken language	none
--------------------	--------------------
Are there any specific activities you engage in daily that reflects your functioning in communication, as an elderly patient?	communication
Oh yes. Very often, my son calls me up and we talk for a while.	communication (interpersonal interactions and relationships)
That's great! How do you find it --- the experience of speaking on the phone?	communication
At times, it's somewhat tiring to follow the conversation.	communication
Hmm...Do you experience inconvenience to understand him properly?	communication
Yes, sometimes. But I ask him to patiently speak slowly so that I can understand better.	communication
It does make sense! Any other instances when you experience those barriers to communicating?	communication
Ah, every day I write a journal in the morning. I dictate, and my helper	none
--------------------	--------------------
How was your day, did you do anything interesting today?	interpersonal interactions and relationships
Oh, just some basic stuff around the house.	domestic life areas
Did you do any communicating today that you found challenging or interesting?	communication
Well, I did have to call my doctor's office today.	communication
Oh, did you have any trouble hearing or understanding what they said? Or did you use any communication devices or strategies to communicate with them?	communication
No, thankfully it was a clear line and I could hear them clearly. I think my hearing aid helps with that. But they did talk kinda fast and gave me a lot of information all at once. It was a little overwhelming.	communication, self-care
Ah, I know what you mean. Did you have them clarify	communication
--------------------	--------------------
How was your day today?	interpersonal interactions and relationships
It Was very busy today!	general tasks and demands
Oh! you look pretty exhausted. How are you feeling right now?	interpersonal interactions and relationships
A little bit dizzy	self-care
Why was that feeling ambushed on your side?	none
Earlier today I had a local poda bazar market, and purchasing things makes communicating much more significant due to negotiation habit employed regularly. 	communication
How long did it last?	general tasks and demands
Well It initiates standing pretty early in the morning and approximately takes about two hours. During this whole duration long engagement includes communication with countless tailors, craftsmen, and various vendors. Later interacting in receiving proper billing.	communication
It sounds exciting!!	interpersonal interactions and relationships
Yes, Anything related to community	community, social and civic life
--------------------	--------------------
How was your day, Mary? 	interpersonal interactions and relationships
Well, it started out fine. In the morning, I watched the morning news to catch up on what's happening in the world.	learning and applying knowledge
That's nice. Did you understand everything that was being said on TV? 	communication
Not completely,j ust some of the main headlines. Then,Iyou went grocery shopping to buy some fruits and vegetables. 	domestic life areas
Did you interact and make small talk with anyone while you were there? 	interpersonal interactions and relationships
Yes, I had a brief conversation with one of the vendors selling fruits, asking How much is this?, Is this fruit ripe?. 	communication
Did you have any difficulties understanding the person becaseu of a regional accent	communication
--------------------	--------------------
Hi! How are you doing today?	interpersonal interactions and relationships
Oh. Hello there! How nice to talk to someone this morning, hehe.	interpersonal interactions and relationships
Sure thing! What have you been doing lately?	none
Just my daily routine you see. A lot of reading, trying to tend to the things around the house - cooking lunch hasn't improved yet, haha.	domestic life areas
Oh yeah, sounds fruitful! Do you usually hear the newsreadings on radios or TVs?	communication
Well Little Freddie gifted me this hearing aid the other month and it sure has done the wonders for conversations. It took me a while to adjust and somehow always make time out for rituals older folks are known for nowadays; but after consistent struggle with machinery before bed hours have	communication
--------------------	--------------------
So, how's your day going, does anything different happen?	none
Actually, I went to the grocery store yesterday and struggled at the checkout. 	domestic life areas
That sounds frustrating - what happened? Did the cashier speak too quickly?	communication
No, the cashier spoke clearly. However, my hearing makes it difficult for me to focus. 	communication
That's understandable. Could you hear the other sounds in the store that were worse? 	communication
Thankfully I was able to close my hearing help to give relief, but otherwise, groceries loooooooo-spells can stress speech accommodation I think I couldn't hear sound especially understand﻿ it while dozens busyfull society people are stands anywhere moving around and engrossing the vision and competition	none
--------------------	--------------------
How was your day today?	none
Not bad.	none
Did you have a chance to socialize with the other residents?	interpersonal interactions and relationships
Yes, I joined the game club this afternoon.	community, social and civic life
