utterances	labels
Did you end up attending your usual community event this week?	community, social and civic life
Yes! I actually met some new people today. 	interpersonal interactions and relationships
That's great! Can you tell me a bit about what kind of community even it was?	community, social and civic life
Oh! It's a monthly music event where Irish groups play some traditional songs mainly with viola, accordion or harp and locals gather to feel refreshed by Irish music and culture.' 	community, social and civic life
When was it?	community, social and civic life
They do clean-up and renovation works first Tuesday of the every month starting at 10:30am.And then they start the music at around 12 pm.	community, social and civic life
That sounds fun! How did you learn about it?	interpersonal interactions and relationships
Each community member try to get	learning and applying knowledge
--------------------	--------------------
How was your weekend? You seem quite relaxed today.	none
Yes, I'm feeling better today. I found a community center near my house, and they have different events during weekends. On Saturday, I attended a movie and discussion event with some neighbors.	community, social and civic life
That sounds interesting. What movie did you watch, and how was the discussion?	none
We watched Dinner with Friends, a drama exploring fragile situations and worry about stable relationship with previous ones.. Moreover, typically emotions and person life rearrangement from friends history truly offer nicely unplanned possibility To discuss to adjust those relation. 	none
I see. Did you enjoy it?	none
 definitely, not only I share my opinion vehementl One non	none
--------------------	--------------------
How was your day, do anything fun?	interpersonal interactions and relationships
Not really. Went for a walk outside briefly, but mostly stayed home.	domestic life areas
Any community, social, or civic events you’re planning to attend in the near future?	community, social and civic life
I enjoy going to church on Sunday for mass, followed by coffee and donuts. 	community, social and civic life
Which church you attend and at which time of the day does Sunday School begin?	community, social and civic life
I attend St. Joe’s, the Sunday School is at 8 a.m. 	community, social and civic life
Also at St Joe’s, is there a volunteer services coordinator that helps in different healthcare specialized city-wide social services include ongoing drop off points for medication?	community, social and civic life
Yes Susana Christas,	community, social and civic life
--------------------	--------------------
Do you have any activities you participate in outside of your home, to engage in your community, or to connect socially with others besides family?	community, social and civic life
Yes, I do. Every Sunday, I enjoy going to church regularly that is very much a part of my routine every week.	community, social and civic life
That's great. Are you also involved in any other groups or volunteering activities as a part of community or civic life?	community, social and civic life
Oh, I am also volunteering at a Food Distribution agency that delivers food packages every week. Plus, twice a month, they host a blood drive aimed to ensure a good reserves of life saving products donated by multiple individuals from a variety of diaspora.	community, social and civic life
That's nice to hear. Do you to generate interfaith	none
--------------------	--------------------
Hi there! How was your day going, lately? 	communication
Pretty regular. I remember I did Grocery shopping the other day. 	domestic life areas
When do you usually do your grocery shopping? 	communication
I now go on Tuesdays after the couple next door does their’s so we black candy isn’t doing at the hands of local branches. 	none
Oh that’s cool, it’s busy enough already at greater Vancouver. Did everything you want up is shopping emerged right sometimes the craziness? 	communication
Yes, including trip purchase customers I struck against come batteries whatever my spouse asked, I stick – absolutely civil name harder Canada reply which match he pays compliment in hopes amazing find if left offer several fruit lay split prove separate included	none
--------------------	--------------------
Have you been up to anything interesting lately?	none
It's been really nice out, so I've been taking some walks around the neighborhood.	mobility
That's great, I love getting fresh air. Is there anything interesting you've noticed during your walks?	none
Our neighborhood hosts a fitness group and I have been lucky enough to pass by and watch them sometimes.	community, social and civic life
