utterances	labels
Today is always a busy day for me!	general tasks and demands
Really? Why? 	none
Because I’m washing laundry for The Johns this morning. 	domestic life areas
Do you wash it every week?	domestic life areas
Yes, This It's included on my activities actually.	domestic life areas
How many loads are you doing today?	domestic life areas
Just a few loads of Regular cleaning clothes. 1-2 delivery by evening Can you write it on my checklist? 	domestic life areas
Sure, I can do that. Do you have anything else scheduled?	general tasks and demands
Oh yes, I need to clean the dining room by noon as there's an appointment. 	domestic life areas
Okay, but mind me letting someone know to assist you with your cleaning. 	general tasks and demands
That'd	none
--------------------	--------------------
Can you tell me how you usually manage cooking your meals?	self-care
Well, I used to cook my meals every day, mostly at dinnertime but now it seems quite challenging since I struggle more with standing up for longer periods while cooking.	self-care
When did you start to feel difficult cooking?	none
I feel like I can't stand up for an extended amount of time anymore, mainly due to muscle fatigue and joint pain. So starting with maybe a couple of intermittent times throughout my days, and now, almost every night, it impacts my stamina getting dinner for myself poorly.	self-care
How about grocery shopping, how frequently can you go these days?	domestic life areas
Grocery stores going out shopping regularly is also more challenging because of what seems	domestic life areas
--------------------	--------------------
Have you been doing anything interesting lately?	none
Well, I have been trying something new, making my breakfast.	domestic life areas - cooking
Oh, that sounds great! What kind of breakfast have you been making?	interpersonal interactions and relationships
I try to switch between making omelettes and scrambled eggs.	domestic life areas - cooking
That's good! How do you usually make the omelette or scrambled eggs?	learning and applying knowledge - cooking
Yes, I beat two eggs in a bowel with cheese, add salt and pepper and mixu all of ingredients and then put it in the frying pan.But sometimes I burn eggs in th pan.	learning and applying knowledge - cooking
Breakfast is definitely the most important meal of the day. At what time do you usually eat breakfast? 	none
Normally, I like to	none
--------------------	--------------------
How are your daily efforts to keep things tidy? 	self-care
Whenever I get the energy at chore interval slots provided.	domestic life areas
How many intervals can there be during the day?	domestic life areas
Either an hour after lunch, late afternoon, andearly evening was imposed; or whichever works enough accumulated weights to mutually admit as valid dismissal path nodes at explicit-choice instants.	domestic life areas
Oh I understand, can you tell me a little bit more about household appliances you use? 	domestic life areas
Their gain only continues certain forms , in forming addition choices,but I nurse adequate identity pieces when mastering daily skill units from time suiting this life-zone occupancy.	learning and applying knowledge
--------------------	--------------------
What did you do yesterday, P?	none
I was busy doing housework. It's always my schedule every Friday.	domestic life areas
What kind of housework do you usually do on Friday?	domestic life areas
I dusted the house, changed the bed sheets and blankets, cleaned the bathroom and washed kitchen utensils.	domestic life areas
That sounds like a lot of work. When did you start?	none
I began around 8 o'clock and finished almost at noon.	domestic life areas
Wow, that's quite a while. Did it tire you out doing all those tasks?	none
Well, to some extent. But it's necessary if I want to maintain comfort in the house.	domestic life areas
I can	none
--------------------	--------------------
What did you have for dinner yesterday, P? 	none
I usually cook pasta or rice and vegetable for me religiously. I prepare meals for two days at a time. 	domestic life areas
When do you do this?	none
Once I purchase the items in bulk, I prioritize chopping, cleaning and boiling all the fruits and vegetables once I reach back home from work.	domestic life areas
Do you enjoy cooking? 	none
To be honest, my elder son comes to help anytime if possible but I love potatoes and frittatas only - so it works out with walking-chop.	domestic life areas
--------------------	--------------------
What did you do today at home?	domestic life areas
I woke up early this morning and prepared breakfast for myself.	domestic life areas
That sounds nice. What did you have for breakfast?	interpersonal interactions and relationships
