utterances	labels
How was your day today?	none
It was an okay day. I went to the grocery store to get some food I needed.	domestic life areas
That's good. Did you interact with anyone at the store?	interpersonal interactions and relationships
Yes, I did encounter a woman in my aisle who needed help reaching for an item on the top shelf.	interpersonal interactions and relationships
Did you offer to help her?	interpersonal interactions and relationships
Yes, I did offer her and got her the item she was looking for.	interpersonal interactions and relationships
That was nice of you. What about the checkout process, did you communicate with the cashier?	communication
Yes, I did. The cashier greeted me and I said hi back. I thanked her at the end when I was done checking out.	communication
It seems	none
--------------------	--------------------
How have you been feeling today?	communication
Oh, just so so. Nothing too eventful happened. 	none
Well, how've things been with your family lately? 	communication
Good, I had a dinner party yesterday in order to cope with difficult personal transitions within three months. The gathering wasn’t quite easy anytime two out of three spreekable event-triggered let's call it ‘really passionate political announcer monologes of obliviant uncle, threatening younger soberleisure sections by forming his mindset-contemporary stance’. I had to put things my way. 	domestic life areas, interpersonal interactions and relationships
I can understand how that must have been stressful. Did the dinner party go smoothly besides that conflict?	communication
Overall, it was quite synchronizing and	none
--------------------	--------------------
How was your day, did anything memorable happen today?	none
Oh dear, you know how visitors day went yesterday?	interpersonal interactions and relationships
No, I wasn't informed. What exactly happened?	interpersonal interactions and relationships
My granddaughter fell asleep half-way through meditation and I scolded her a little loudly on front of everybody... well, that's what struck with me.	interpersonal interactions and relationships
I see. Could you have reacted differently, looking back?	interpersonal interactions and relationships
What can I say - my pride gets the better half of me. 	interpersonal interactions and relationships
Since you recognize that pride is affecting your relationships event negatively in your interpersonal networks, how can we pin down specific process steps to change that issue?	interpersonal interactions and relationships
I’m really looking	none
--------------------	--------------------
Hey, how was your day today?	communication
Oh, it was fine, just like any other day.	none
Really? What did you do today?	communication
I took a walk in the garden and saw some people feeding the ducks. I wanted to go closer and watch them but I thought it might not be appropriate to impose on strangers.	mobility, community, social and civic life
Well, that’s very responsible of you to think that way. Maybe they wouldn’t mind or even be happy to let you watch.	communication
Yes, maybe you’re right. I always try to be respectful and considerate of others.	none
That’s really commendable! But don’t ever lose your sense of wonder about the things around you too.	interpersonal interactions and relationships
Oh,	none
--------------------	--------------------
Hi, how are you today?	communication
Good, thanks for asking. How about you?	communication
I’m doing well. Can you tell me about something interesting or meaningful that happened to you recently? 	communication
Well, my son came to visit me last weekend. We watched some movies together.	interpersonal interactions and relationships
That sounds nice. Did you both enjoy it?	interpersonal interactions and relationships
Yes, we did. It's always nice to have him around but It was a bit difficult to choose what Movie to watch as our preferences are different.	interpersonal interactions and relationships
I can understand. Did that cause any problem between you two?	interpersonal interactions and relationships
No, we talked through our preferences, their ratings, and found something that we both was something we hadn’t seen yet and	interpersonal interactions and relationships
--------------------	--------------------
So, how has your day been so far?	communication
It's been okay I guess.	communication
Is there anything specific on your mind?	communication
Yeah actually. Yesterday, my daughter came to visit me at the retirement home.	interpersonal interactions and relationships
Ah, that sounds lovely! How did it go?	interpersonal interactions and relationships
I was happy to see her of course. But some of her comments really annoyed me.	interpersonal interactions and relationships
What kind of comments?	communication
Well... She kept asking about aspects of how I live here as if she thought I'm hopeless by being passive around here.	interpersonal interactions and relationships
How she went detail or specific expectations?, Did she explain with calm or became angry unable to understand that actions still represent responsibility?	communication
Actually mostly things	none
--------------------	--------------------
Good morning! How has your day been so far, anything interesting to share?	interpersonal interactions and relationships
Oh, not really. Just trying to keep up with my routine like usual, you know.	general tasks and demands
I know what you mean. But despite the regiments, there must come events now and then worth telling others about, right?	interpersonal interactions and relationships
Like what, though?	none
Well, I believe for elderly patients like you sometimes things can pop up involuntary in the foreground while having familiar conversations. Maybe when trying to following someone’s storytelling or trying to lead others in trying your favoured board game behaviours, in the cafe occasionally trying talking daily running beforehand smoothly with a variable barkeeper. For me eventually hair rising stands accompanying unbelievable overnight successes hearing awesome phone conversations	communication
--------------------	--------------------
How was your day today?	communication
Oh it was alright, I had a nice chat with a neighbor this afternoon.	interpersonal interactions and relationships
That's great to hear. Can you tell me about the conversation?	communication
Well, we spoke about our gardens and the vegetables we like to plant. It was interesting to learn about different gardening techniques she used.	learning and applying knowledge, interpersonal interactions and relationships
it looks like she's a nature lover! You've been living in this neighbourhood for a while, right?	interpersonal interactions and relationships
Yes, I have. I feel more comfortable building connections with the people in my immediate vicinity as I see them more frequently around.	interpersonal interactions and relationships
I can understand that. How about yesterday? Did you see your grandchild?	interpersonal interactions and relationships
Yes, they came over for a	none
--------------------	--------------------
How was your day today?	communication
Oh, it was okay.	communication
Just okay? What did you do?	communication
Well, I had a doctor's appointment this morning. Then I came home and watched some TV.	general tasks and demands
