utterances	labels
How has your day been so far?	none
It’s been alright. Though, I had a tough time figuring out how to program the TV remote-control.	domestic life areas
Couldn't you find where the problem was?	communication
Turns out, the manual was outdated and incomprensible. They left outwards and changed some of its commands.	general tasks and demands
How did you learn about this?	communication
I went online trying to search for directions using speech before finally spotting and downloading the updated version of it.	learning and applying knowledge
That's a great example to demonstrate using the Know-Do process while applying problem-solving skills. Did using an audio media supported or increased your performance gaining available resources online?	learning and applying knowledge
Yeah to be honest, i wasn't familiar	none
--------------------	--------------------
How's everything going for you today?	interpersonal interactions and relationships
Oh not too bad, just trying to figure some things out.	learning and applying knowledge
Sounds like you're doing some problem-solving.	learning and applying knowledge
Yes, I'm just trying to understand this report.	learning and applying knowledge
When do you usually do your problem-solving?	general tasks and demands
Usually in the morning.	general tasks and demands
Do you prefer solving problems in the morning?	general tasks and demands
Yes, I feel more awake and analytical.	general tasks and demands
That's really interesting. When you're problem-solving, does any particular approach work best for you?	learning and applying knowledge
Yes, I like to use diagrams and charts to visualize the situation.	learning and applying knowledge
That makes sense. Are there other ways in which you generally prefer to learn or process information?	learning and applying knowledge
--------------------	--------------------
How was your day, Pat? What did you do today that made you happy?	interpersonal interactions and relationships
Oh, I try to keep myself busy all the time. Even studying. 	learning and applying knowledge
You love studying that much, do you Pat?	interpersonal interactions and relationships
Certainly do. Learning heals my emotions of depression.	learning and applying knowledge
Was there any specific way that you learned something better today?	learning and applying knowledge
I was listening first, and understood the set the whole goal up. Planning made tasks smooth.	general tasks and demands
--------------------	--------------------
How is today going for you?	none
Oh, hello. My cough is a bit worse today. Smart as has medicine figured a solution for constant coughs?	communication
Oh no, I'm sorry to hear that. When do you usually start coughing?	communication
After lunch and inunditidi..	communication
Intruding?	communication
Yes, breakfast my grandson gets late every day.	communication
Well If you change schedule your grandson is attending long meeting schedgen than prioritize something won occur during meionidolin morningow create space so experience undivzdwill.ttinget's take more check deeplweed herb and calm tenasing stomach.	communication
Maybe herb will alteayeywo it a tries fairve therli	communication
--------------------	--------------------
What have you been up to today, anything interesting in your day-to-day routine?	none
Oh, I've been following my usual routine of reading the newspaper since I woke up in the morning.	learning and applying knowledge
That sounds like a satisfying way to start a day. Any type of particular news that catching your eyes right now.	none
I read an article about a doctor that I used to know a long time ago who is developing his own psychiatric practice now.	learning and applying knowledge
How did that article impact the doctor-patient relationship with your medic giver amongwhen you embedded whenever an amount your relationship.	communication
Oh, it overwhelmed me with proud. When I visited the prevention job spread for youth orientation lecture materials... I firstly defined on cover volume	none
--------------------	--------------------
So, how are you feeling today?	communication
I'm feeling fine, thank you.	communication
Did you have any interesting activities to do today?	learning and applying knowledge
Oh, not much. But, I tried to read some newspapers this morning.	learning and applying knowledge
That's great! When and how long did you read for?	communication
I read for about 30 minutes after I got up, right after I ate breakfast.	learning and applying knowledge
That's a good habit! What kind of newspaper did you read?	learning and applying knowledge
Just some local news. I also picked up some tips about keeping pets healthy as I was reading.	learning and applying knowledge
Sounds like an informative paper! Did you remember any points from what you read?	learning and applying knowledge
Yeah, there was an ad which	none
--------------------	--------------------
So, how has your day been so far?	none
Not bad my dear, just the usual routine. Did some cleaning, cooking, and reading.	domestic life areas (cleaning, cooking)
That's good! I'm curious, what did you cook?	domestic life areas (cooking)
Today I experimented cooking broccoli in a different way that I learned from my cooking book.	learning and applying knowledge (cooking)
That sounds interesting. How did you learn about this new way of cooking?	learning and applying knowledge (cooking)
My granddaughter got me a cookbook and I like to read new recipe ideas in the book.	learning and applying knowledge (cooking)
That's great, it seems you enjoy learning different ways of cooking. Have you tried any other recipe?	learning and applying knowledge (cooking)
Yeah. Few days back, I adapted a recipe from the cookbook on how to thrive a plant in p	none
--------------------	--------------------
Hi, how are you feeling today?	communication
I'm feeling ok, just a little tired.	self-care
I can understand that. I wanted to see how is your daily life going. How do you spend most of your days?	major life areas
Mostly staying at home. I like reading books, watching TV and listening to the radio.	domestic life areas
That's great. What genres of books interest you the most？	learning and applying knowledge
I enjoy learning about history and biographies.	learning and applying knowledge
How did you discover this interest?	learning and applying knowledge
Really simple, I saw documentaries view and out of curiousity I got few related books.	learning and applying knowledge
That's fantastic! And because you enjoy that, have you developed problem-solvers that you are processing knowledge into new ideas	learning and applying knowledge
--------------------	--------------------
Hi! How are you feeling today?	communication
I'm doing fine, thank you.	communication
Can you tell me how you learn new things usually?	learning and applying knowledge
