utterances	labels
So how has your week been going?	none
Well, this past Tuesday I had an interview for an internship position and let me tell you it was quite the experience.	learning and applying knowledge, general tasks and demands
Oh really? How so?	none
It took ages getting dressed up and prepared properly for arrival -- as dressing all professionally walks me quite a bit and takes a toll physically -- and then sitting in an uncomfortable chair waiting for the interviewer to finish prior engagements painted up lotsa hassle for my functioning too.	self-care, general tasks and demands, mobility
I understand having physical limitations can make these sort of situations particularly burdensome--May I ask therefore, alternatively, taking online opportunities has appealed to you as an convenient opportunity of many out in market.	communication, general tasks and demands, learning and applying knowledge
Honestly staying at arms drive on-my-comfy	none
--------------------	--------------------
How was your day today, have you been busier than usual?	none
Oh, not really. I took care of some basic tasks early in the morning before doing some leisure reading.	general tasks and demands
It’s always important getting a head start and packing your own lunch for break, too! You work part-time from home and mentioned being well-prepared as an important aspect of this job?next utterance need clarification 	self-care
Exactly! with my current job everyso often it entails following up and updating designs remotely.	learning and applying knowledge
Alongside attending varsity isn’t it?	none
Yeah but manageable. Most if not all of my lectures take place later in the one rainy season today or the Sahara tomorrow, so cram reading notes on	learning and applying knowledge
--------------------	--------------------
How was your day today?	communication
It was a regular day.	none
Did you go to work?	communication
Yes, I went to work at the grocery store.	general tasks and demands
How's your boss treating you?	communication
She's friendly, but strict on making sure people are doing what they're assigned to.	interpersonal interactions and relationships
And your colleagues?	interpersonal interactions and relationships
They're okay, but there's too much traffic around them that I can hardly concentrate.	general tasks and demands
Are you learning something new or developing your skills?	learning and applying knowledge
Yes, a few weeks ago we started making shifts and taking stocks which is new for me.	learning and applying knowledge
That's exciting. How much did you earn today?	general tasks and demands
Just enough. Fighting bills with a minimum salary isn	none
--------------------	--------------------
Do you usually have any job interview offers, sir?	communication
Not really, it's been hard stepping into companies now and then.	general tasks and demands
Do you mind specifying when was the last time you worked for an employer?	communication
It was year or two before retiring now.	general tasks and demands
That's promising. You initially retired this age, right?	communication
All discussion taking into account I initially assessed fixing one particular set price and onwards and lifelong endeavor pricing another that started retirement and ending steady maintaining thereof-- yes.	learning and applying knowledge
I see, have you ever thought of volunteering as your post-retirement occupation?	general tasks and demands
Volunteering works best schedules occurring frequently am enable accustomed discussion skills reaching speed prioritizing differently	communication
--------------------	--------------------
Did you do anything interesting today?	none
