utterances	labels
Which kinds of activities do you usually do, Caroline?	learning and applying knowledge
Well, I am early retired, but I love regular walks in the morning.	mobility
That's great! Have you had any problems or improvements in doing so lately?	none
Oh, I enjoy losing myself into the natural environment around here every day. Conversely, recently my arthritis started playing slightly and working a bit hard while completing even simple day-to-day moderate activities.	mobility
Does it pain too much when doing activities pushing hard?	none
I underwent session with tissues compression to adjust the soreness that occurs in inflamed joint areas sometimes but most of the time the symptoms stay in this limit that I can carry on up reasonably.	self-care
--------------------	--------------------
What's going on, have you been up to anything?	interpersonal interactions and relationships
Well, just recently, not particularly. My daily life is fairly boring. 	major life areas
I doubt that very much. What's with errands, hobbies, anything of that sort.	major life areas
I like having my daily walk on the street. 	mobility
Excellent outdoors often ask you between exercises positive for mood 	none
That absolutely right! Walk out lifts me in positivity	none
How far would you usually travel on pedestrian?	mobility
About ten block. Longer goes one I seesaw now. 	mobility
Certain I becomes light tired noticing about? 	none
Give now from today, make fail happen walk soundly.	none
Amenability frustrating extremely is	none
--------------------	--------------------
Do you have any exciting plans for the weekend?	community, social and civic life
Not really, I usually just stay home and watch some TV.	domestic life areas
That sounds nice. How about last weekend? Did you have any plans?	community, social and civic life
Yes, my grandson took me to see a movie.	community, social and civic life
Oh, what did you see?	communication
We watched a comedy. I enjoyed it a lot.	communication
That's great. Did you take the bus or a taxi?	mobility
My grandson drove me there in his car.	mobility
How about shopping? Do you go out to buy groceries or other necessities?	domestic life areas
Yes, I usually go to the supermarket on Tuesdays.	domestic life areas
That's awesome. Do you walk to the supermarket or take	mobility
--------------------	--------------------
So, how has your day been, have you been doing a lot of moving or traveling around today? 	mobility
Well, yes, actually. Today I visited my friend who lives on the other side of the city with a taxi.	mobility
Oh, okay. How was your experience of the taxi ride? Is it accessible for a person that has problems with adopting to uneven surface?	mobility
I felt some bumps because of my tremulous legs and shaking muscles but regrettably the taxi can not make any extras for making it more navigable 	mobility
Was there much traffic on the road during that time? 	mobility
Yeah, there were a lot of cars and buses running on busy urban roads with their upper limits full-g	none
--------------------	--------------------
Do you have a usual routine before going out in the morning?	general tasks and demands
Yes, I usually wake up around the same time and try to move around the house to warm up my body before heading out for local mobility events.	mobility
And how about going to visit your grandkids who live two hours away form you. When do you take that longer , out of your area trip?	community, social and civic life
I do this a few times per year. But taking care of accommodating my strength criteria beforehand make me feel apprehensive.	self-care
How far in advance do you need to make preparations for it?	general tasks and demands
I typically notify them a couple weeks ahead and will check medications and rentals needed .	general tasks and demands
--------------------	--------------------
How was your morning today, and did you go out at all?	none
Yes dear, I went out for some shopping on my scooter. 	mobility
That sounds great. So when did you go shopping - in the morning? 	none
Not really dear, actually, I came back half an hour before you contacted.	none
Okay, got it. And how did your scooter function today?	mobility
The scooter is running still now without giving any hiccups, which is not bad at this age. But its battery depletes over time quite easily, so I charged before waking up today to avoid any breakdown and preserve its useful life. By the time I came home again in an hour, its driving capacity reduced sufficiently	mobility
--------------------	--------------------
How has your day been today?	none
Not bad. Though every day is a bit challenging as it is difficult to move around nowadays.	mobility
What do you mean by that? Do you need Medical assistance frequently?	none
No, it is not medical help, but just my own mobility. I finding it difficult when taking buses or trains as I need to rely on knieksie. 	mobility
Do you use shopping home busses for getting the grocery towards casa?	none
Yes, one fairly arrives Monday evening. However one needs placing an order Saturday or before for them to know.	domestic life areas
It appears Monday the recommendation would be Better What else do you do for mobility events? 	none
Sometimes, using a highway	mobility
--------------------	--------------------
How are you feeling today?	communication
I'm all right. Just a little tired.	communication
Did you visit the supermarket today?	domestic life areas
No, I walked to the hospital today to have my session.	mobility
How long do the sessions last?	learning and applying knowledge
Usually around an hour. Then I walk back home.	mobility
How are you finding the walk?	general tasks and demands
It can be tiring but I prefer it to taking the crowded tram.	general tasks and demands
Do you take the tram often?	mobility
Yes, at least two or three times during the week.	general tasks and demands
How busy is the tram usually?	general tasks and demands
Sometimes it can be crammed. But mostly, it's a comfortable way to go around town.	general tasks and demands
Do you	none
--------------------	--------------------
Have you been out and about lately? 	community, social and civic life
Oh no, I rarely get the chance to go outside anymore. 	mobility
Why is that? 	none
I just find it difficult these days. I lost some strength in my legs, so walking outside isn’t easy. 	mobility
That must be difficult for you. How do you usually get around? 	mobility
Generally, I use my scooter to get to my doctors or home services checks. 	mobility
And what about grocery shopping? That's also an essential activitiy, n'aest-par? 	domestic life areas
Yes, I agree. On occasions my daughter helps pick up some groceries. Other times, there's this rare flyer called Maggie remarkable	none
--------------------	--------------------
Hi there, how have you been?	interpersonal interactions and relationships
I've been okay, thank you. 	interpersonal interactions and relationships
I was just wondering, how have been getting around lately? 	mobility
Well, I usually walk to the grocery store every Tuesday and take the bus to the library on Wednesdays. 	mobility
That's great! Do you ever take other forms of transportation like cabs or trains? 	mobility
