utterances	labels
Did you have difficulty with anything today, Mary?	general tasks and demands
Not anything..I was okay today..	none
That's great Mary! Did you have your morning bath today?	self-care
Yes, Emily. I did have my morning bath probably an hour ago. I feel more better.	self-care
I see..by any chance do you need help with bathing?	none
No Emily. In general, I like to live on my own care strength.	self-care
That's wonderful Mary. By the way, do you regularly wash your hands?	self-care
Uhm-hm, Sure Emily. Before and after each meal I ensure giving wave a proper lead voice pattern is helping you or on with our safety learning further t making a get anywhere yourself	communication
--------------------	--------------------
Hello! How are you feeling today?	communication
I'm glad you asked, but I'm mostly thinking of self-care events I need in my daily routine.	self-care
Oh, okay.. sounds important. Which self-care events do you mean specifically?	communication
well, my shower has become a daily routine, please how should one shower, on getting inside the bathroom or after stripping completely naked?	self-care
Hmm.. I suggest getting tiled fully as the preference like saling water damage, this kicks off the beauty therapy application cleans deeply polished lips in every stitch; then stretch to relief eagarness along gradual static positioning addressing the seconds notably relaxing what still have-to overcome muscle spammed dynamic challenging functions easily undistsracted	none
--------------------	--------------------
Hey, how have you been lately?	communication
Oh, just trying to keep active and functional.	general tasks and demands
That's good to hear. I see you've been keeping up with your daily self-care routines.	communication
Yes, I try to be mindful of maintaining my routine.	general tasks and demands
When do you usually do your self-care events during the day?	communication
I usually do my self-care every morning after breakfast when my energy is still robust.	self-care
Is there a particular self-care event that requires more of your time and attention?	general tasks and demands
Well I had a leg surgery a few years back and since then I have to give extra time while washing my left foot.	self-care
F : Oh ok. If you don't mind me asking,	communication
--------------------	--------------------
Hey there, how was your day today?	communication
It was quite exhausting. Thanks for asking.	communication
I totally understand. Did you have any self-care break today?	self-care
Yes, yes ... I had a shower in the morning .	self-care
That sounds refreshing. Do you usually have showers every day and what gives you the feeling that you really a shower?	self-care
No, never maybe – mostly I try to shower huge daddy slowly abhimanyu_kumar; been easier spots lately unfortunately…” Today I felt super drowsy and completely a crisp wake – me – up – shower by hundreds warm this tinegal country.	none
Make sense! Did you also have a brush off with soap on your body	self-care
--------------------	--------------------
So, have you been managing ok with bathing and showering?	self-care
Hmm, I find it troublesome these days.	self-care
How so?	none
It just requires a lot of energy nowadays and I don’t have that much stamina.	self-care
Maybe having a hand-held shower head could help with that. Have you thought of purchasing one of those?	self-care
I haven’t actually. But, I think I find it easier to clean myself from the counter tap. 	self-care
When was the last time you properly washed your hands?	self-care
Well…what’s the date again? I think it has been about two days 	self-care
That could be – I think this about some hygiene considerations.	self-care
Agree, but sometimes	none
--------------------	--------------------
Hey, how have you been doing lately?	communication
Pretty good these days. Thanks for asking.	communication
